AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,Breed,Color,AgeuponOutcome(Weeks)
A671945,Hambone,2014-02-12 18:22:00,Return_to_owner,,Dog,Neutered Male,Shetland Sheepdog Mix,Brown/White,52.0
A656520,Emily,2013-10-13 12:44:00,Euthanasia,Suffering,Cat,Spayed Female,Domestic Shorthair Mix,Cream Tabby,52.0
A686464,Pearce,2015-01-31 12:28:00,Adoption,Foster,Dog,Neutered Male,Pit Bull Mix,Blue/White,104.0
A683430,,2014-07-11 19:09:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Blue Cream,3.0
A667013,,2013-11-15 12:52:00,Transfer,Partner,Dog,Neutered Male,Lhasa Apso/Miniature Poodle,Tan,104.0
A677334,Elsa,2014-04-25 13:04:00,Transfer,Partner,Dog,Intact Female,Cairn Terrier/Chihuahua Shorthair,Black/Tan,4.5
A699218,Jimmy,2015-03-28 13:11:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,3.0
A701489,,2015-04-30 17:02:00,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby,3.0
A671784,Lucy,2014-02-04 17:17:00,Adoption,,Dog,Spayed Female,American Pit Bull Terrier Mix,Red/White,22.5
A677747,,2014-05-03 07:48:00,Adoption,Offsite,Dog,Spayed Female,Cairn Terrier,White,52.0
A668402,,2013-12-05 15:50:00,Transfer,SCRP,Cat,Unknown,Domestic Shorthair Mix,Black,104.0
A666320,,2013-11-04 14:48:00,Adoption,,Dog,Spayed Female,Miniature Schnauzer Mix,Silver,104.0
A684601,Rocket,2016-02-03 11:27:00,Adoption,Foster,Dog,Neutered Male,Pit Bull Mix,Brown,208.0
A704702,Scooter,2015-06-08 16:30:00,Return_to_owner,,Dog,Neutered Male,Yorkshire Terrier Mix,Black/Red,104.0
A688584,Preston,2015-11-25 15:00:00,Return_to_owner,,Dog,Neutered Male,Great Pyrenees Mix,White/Cream,52.0
A678825,Oliver,2014-07-12 12:10:00,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,13.5
A678050,,2014-05-03 16:15:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,3.0
A680028,,2014-06-07 12:54:00,Transfer,Partner,Dog,Intact Female,Pit Bull Mix,Brown/White,2.0
A679010,Chrissy,2014-05-17 11:32:00,Transfer,Partner,Cat,Intact Female,Angora Mix,White,104.0
A684787,Kuma,2014-07-30 17:34:00,Return_to_owner,,Dog,Neutered Male,Flat Coat Retriever Mix,Black,52.0
A670658,Anders,2014-01-19 15:03:00,Transfer,Partner,Dog,Intact Male,Queensland Heeler Mix,Black/White,9.0
A708812,Munchkin,2015-09-18 15:19:00,Transfer,Partner,Cat,Spayed Female,Domestic Shorthair Mix,White,52.0
A705262,Jamaica,2015-08-15 14:22:00,Adoption,,Dog,Spayed Female,Plott Hound/Boxer,Brown Brindle/White,104.0
A665781,Quattro,2013-10-28 16:32:00,Adoption,,Dog,Neutered Male,German Shepherd Mix,Brown/White,45.0
A676333,Trigger,2014-04-09 17:44:00,Return_to_owner,,Dog,Neutered Male,German Shepherd Mix,Black/Brown,9.0
A712750,Olive,2015-10-03 15:44:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby,4.5
A718832,Nia,2016-01-15 17:31:00,Adoption,,Dog,Spayed Female,American Staffordshire Terrier Mix,Chocolate/White,27.0
A698777,Chloe,2015-03-25 18:50:00,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,White/Tan,260.0
A715348,Cymbale,2015-11-21 13:01:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Cream Tabby/White,9.0
A708666,Jax,2015-07-30 14:30:00,Return_to_owner,,Cat,Neutered Male,Russian Blue Mix,Blue,364.0
A718535,,2016-01-01 13:57:00,Euthanasia,Suffering,Cat,Spayed Female,Domestic Shorthair Mix,Calico,156.0
A707341,Murphy,2015-07-15 15:25:00,Transfer,Partner,Dog,Intact Male,Labrador Retriever Mix,Black/White,18.0
A682532,,2014-07-03 17:01:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Torbie,9.0
A666825,Jesse,2013-11-08 13:24:00,Return_to_owner,,Dog,Neutered Male,Collie Smooth/German Shepherd,Brown/Black,260.0
A699723,Delgado,2015-04-11 16:01:00,Transfer,Partner,Dog,Neutered Male,Chihuahua Shorthair Mix,Brown,156.0
A668626,,2013-12-06 14:55:00,Euthanasia,Suffering,Dog,Intact Male,Labrador Retriever Mix,Yellow,156.0
A657085,Pony Boy,2013-10-24 11:22:00,Return_to_owner,,Dog,Neutered Male,Pit Bull Mix,Brown/White,156.0
A682413,,2014-07-02 13:37:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Blue/White,9.0
A702655,Mica,2015-08-11 00:00:00,Transfer,Partner,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,18.0
A707503,,2015-07-14 12:16:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,3.0
A697199,Pilar,2015-04-04 17:26:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Blue Tabby,364.0
A705598,,2015-06-23 13:25:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,9.0
A668388,Lucy,2013-12-09 15:04:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,9.0
A671181,,2014-01-21 15:15:00,Transfer,SCRP,Cat,Intact Male,Domestic Longhair Mix,Black/White,208.0
A676766,Ali,2014-05-28 15:52:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,104.0
A686716,Chester,2014-08-27 07:50:00,Return_to_owner,,Dog,Neutered Male,Beagle,Tricolor,624.0
A684475,Daisy,2014-08-05 11:15:00,Return_to_owner,,Cat,Spayed Female,Domestic Shorthair Mix,White/Black,468.0
A701804,,2015-05-05 11:46:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Black,3.0
A697852,Edith,2015-03-09 17:57:00,Adoption,,Dog,Spayed Female,German Shepherd Mix,Black/Brown,22.5
A666092,,2013-10-30 15:37:00,Euthanasia,Aggressive,Dog,Intact Male,Pit Bull/Labrador Retriever,Chocolate/White,312.0
A684050,,2014-07-28 09:00:00,Transfer,SCRP,Cat,Intact Female,Domestic Shorthair Mix,Tortie,52.0
A710107,Caty,2015-10-19 18:58:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,13.5
A682347,,2014-06-26 17:16:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Blue Tabby/White,3.0
A701627,Gabe,2015-05-14 12:07:00,Adoption,,Dog,Neutered Male,Blue Lacy Mix,Gray/White,104.0
A690902,Beth,2014-11-18 16:05:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Orange Tabby/White,9.0
A712979,,2015-10-04 15:02:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Black,1.0
A707687,Bashful,2015-08-16 13:52:00,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Calico,9.0
A683443,,2014-07-18 16:23:00,Transfer,Partner,Dog,Intact Male,Chihuahua Shorthair Mix,Tan,52.0
A597644,Lola,2014-09-16 14:05:00,Return_to_owner,,Dog,Spayed Female,Black Mouth Cur Mix,Tan/Black,208.0
A682784,Sugar,2014-07-07 12:38:00,Adoption,,Dog,Neutered Male,Dachshund/Beagle,Brown/White,104.0
A709863,Orangejello,2015-08-19 13:32:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White,52.0
A678506,Prec Punkin',2014-05-09 18:07:00,Euthanasia,Suffering,Dog,Spayed Female,Yorkshire Terrier Mix,Brown/Black,572.0
A713029,Wilma,2015-10-06 15:07:00,Transfer,Partner,Cat,Intact Female,Domestic Shorthair Mix,Black,4.5
A712236,Bella,2015-09-23 11:45:00,Adoption,,Dog,Spayed Female,Dachshund Mix,Tan/White,104.0
A683961,,2014-07-17 17:31:00,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Black,2.0
A714740,Chiquita,2015-10-27 18:32:00,Return_to_owner,,Dog,Spayed Female,Maltese Mix,White,312.0
A691847,Hero,2014-12-08 15:53:00,Transfer,Partner,Dog,Neutered Male,Pointer Mix,Black/White,27.0
A711392,Molly,2015-09-08 15:31:00,Transfer,Partner,Dog,Intact Female,English Foxhound,Buff,9.0
A705258,,2015-06-16 09:00:00,Transfer,SCRP,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby/White,9.0
A678172,Bella,2014-05-10 18:18:00,Adoption,,Dog,Spayed Female,Chihuahua Shorthair Mix,Red,52.0
A676736,Chili,2014-04-30 17:55:00,Adoption,,Dog,Neutered Male,Vizsla Mix,Brown,9.0
A701575,Hastings,2016-01-29 14:53:00,Transfer,Partner,Dog,Neutered Male,Pit Bull Mix,Brown Brindle/White,104.0
A674913,,2014-03-25 18:15:00,Adoption,,Dog,Spayed Female,German Shepherd/Great Pyrenees,White,156.0
A706446,Tootsie,2015-08-18 11:32:00,Return_to_owner,,Cat,Intact Female,Domestic Shorthair Mix,Black,52.0
A669540,Snookie,2013-12-28 16:17:00,Return_to_owner,,Dog,Spayed Female,Yorkshire Terrier Mix,Blue/Tan,208.0
A709371,Abby,2015-08-19 14:28:00,Transfer,Partner,Dog,Spayed Female,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan,104.0
A681410,Nym,2014-06-22 17:22:00,Adoption,,Cat,Spayed Female,Domestic Longhair,Brown Tabby,13.5
A675021,,2014-03-21 17:09:00,Euthanasia,Suffering,Cat,Intact Female,Domestic Shorthair Mix,Calico,52.0
A704179,Zeus,2015-06-07 16:07:00,Adoption,,Dog,Neutered Male,Chow Chow/Pit Bull,Black,9.0
A717839,,2015-12-20 19:38:00,Transfer,SCRP,Cat,Spayed Female,Domestic Shorthair Mix,Black/White,104.0
A700740,Charlie,2015-12-17 12:10:00,Adoption,Foster,Dog,Neutered Male,Chihuahua Shorthair,White,52.0
A712376,,2015-09-22 12:10:00,Euthanasia,Suffering,Cat,Unknown,Domestic Shorthair Mix,Blue Tabby,2.0
A703952,Taco,2015-05-30 18:56:00,Transfer,Partner,Cat,Unknown,Siamese Mix,Seal Point,4.0
A713690,,2015-10-12 09:00:00,Transfer,SCRP,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,104.0
A691838,Avaddon,2015-02-09 17:17:00,Euthanasia,Suffering,Dog,Neutered Male,Pit Bull Mix,Brown Brindle,624.0
A687789,,2014-09-14 18:51:00,Adoption,,Dog,Neutered Male,Dachshund/Beagle,Brown/White,52.0
A704754,Arthur,2015-07-18 15:37:00,Adoption,Foster,Cat,Neutered Male,Domestic Shorthair Mix,Black,9.0
A707531,,2015-07-14 15:04:00,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Black,2.0
A677594,,2014-04-26 18:00:00,Transfer,Partner,Dog,Intact Female,Labrador Retriever Mix,Black/White,13.5
A667155,,2013-11-18 15:56:00,Adoption,,Cat,Spayed Female,Domestic Medium Hair Mix,Calico,13.5
A717147,Freeway,2015-12-15 14:16:00,Adoption,,Dog,Neutered Male,Plott Hound Mix,Brown Brindle/White,22.5
A687012,Chloe,2016-02-07 14:54:00,Adoption,,Dog,Spayed Female,Boxer/Great Dane,Black,156.0
A676200,Georgia,2014-04-10 11:49:00,Transfer,Partner,Dog,Spayed Female,Lhasa Apso,White/Black,364.0
A676680,Hero,2015-02-06 18:56:00,Euthanasia,Aggressive,Dog,Spayed Female,German Shepherd Mix,Black/Tan,104.0
A688443,Thelma,2014-12-29 15:11:00,Adoption,Foster,Cat,Spayed Female,Domestic Shorthair Mix,Black,18.0
A715261,Darcy,2015-11-15 14:06:00,Adoption,,Dog,Spayed Female,Beagle/Treeing Walker Coonhound,White/Brown,468.0
A717008,Taz,2015-12-06 15:12:00,Transfer,Partner,Dog,Neutered Male,Border Collie Mix,Black/White,31.5
A683416,,2014-07-14 19:28:00,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,9.0
A690658,,2014-10-24 09:00:00,Transfer,SCRP,Cat,Intact Male,Domestic Shorthair Mix,Black/White,156.0
A695155,,2015-01-14 16:18:00,Adoption,,Dog,Neutered Male,Border Terrier Mix,Gray,156.0
A679721,Poppy,2014-05-29 17:43:00,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan/White,260.0
A719113,Dexter,2016-01-28 12:05:00,Transfer,Partner,Dog,Neutered Male,Boxer Mix,Brown Brindle/White,260.0
A665298,,2013-10-16 11:50:00,Transfer,Partner,Cat,Intact Female,Domestic Medium Hair Mix,Blue,2.0
A708351,,2015-07-26 14:40:00,Transfer,Partner,Cat,Unknown,Domestic Shorthair Mix,Black,2.0
